model,auc,log_loss,brier,threshold_policy_youden,accuracy_youden,balanced_accuracy_youden,precision_youden,recall_youden,specificity_youden,f1_youden,mcc_youden,tp_youden,tn_youden,fp_youden,fn_youden,threshold_policy_f1,accuracy_f1,balanced_accuracy_f1,precision_f1,recall_f1,specificity_f1,f1_f1,mcc_f1,tp_f1,tn_f1,fp_f1,fn_f1
naive_bayes,0.964436878910564,0.15657651158754643,0.03670852807391364,nested_outer_train_only,0.9668508287292816,0.9645288921604712,0.8902439024390244,0.9605263157894736,0.9685314685314684,0.9240506329113924,0.9039545546978196,73,277,9,3,nested_outer_train_only,0.9668508287292816,0.9645288921604712,0.8902439024390244,0.9605263157894736,0.9685314685314684,0.9240506329113924,0.9039545546978196,73,277,9,3
svm_platt,0.9756624953993356,0.38436198335047383,0.1191422734772048,nested_outer_train_only,0.9530386740331492,0.950956937799043,0.8470588235294118,0.9473684210526316,0.9545454545454546,0.8944099378881987,0.8665737587213902,72,273,13,4,nested_outer_train_only,0.9530386740331492,0.9412955465587044,0.8641975308641975,0.9210526315789472,0.9615384615384616,0.89171974522293,0.8624892358840895,70,275,11,6
xgboost,0.9597442031652568,0.16411521897916595,0.04516579885846202,nested_outer_train_only,0.9392265193370166,0.9325542878174458,0.813953488372093,0.9210526315789472,0.944055944055944,0.8641975308641974,0.8278595501609296,70,270,16,6,nested_outer_train_only,0.9419889502762432,0.9343025395656974,0.8235294117647058,0.9210526315789472,0.9475524475524476,0.8695652173913043,0.8345701165404942,70,271,15,6
lightgbm,0.9626886271623124,0.15773115785055788,0.04145419657594487,nested_outer_train_only,0.930939226519337,0.9224788369525212,0.7931034482758621,0.9078947368421052,0.9370629370629372,0.8466257668711656,0.8053762048283134,69,268,18,7,nested_outer_train_only,0.9447513812154696,0.916728008833272,0.868421052631579,0.868421052631579,0.965034965034965,0.868421052631579,0.833456017666544,66,276,10,10
ridge,0.9810452705189502,0.183062237269052,0.05064461453114058,nested_outer_train_only,0.9419889502762431,0.943963930806036,0.8089887640449438,0.9473684210526315,0.9405594405594405,0.8727272727272727,0.8398295846708116,72,269,17,4,nested_outer_train_only,0.9530386740331491,0.9219727640780273,0.9041095890410958,0.868421052631579,0.9755244755244755,0.8859060402684564,0.8566311792270912,66,279,7,10
